rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H1_Public information campaigns,Egypt,EGY,57.2829,percent of population,2019.0
3,Governance,Regulatory quality estimate,H1_Public information campaigns,Egypt,EGY,-0.827766,score,2019.0
5,Demographics,Fixed telephone subscriptions,H1_Public information campaigns,Egypt,EGY,8760440.0,number,2019.0
7,Health,Prevalence of COVID-19,H1_Public information campaigns,Egypt,EGY,124280.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Health,Prevalence of Diabetes,H1_Public information campaigns,Egypt,EGY,0.046813,percent,2019.0
9,Economics,Volume of imports,H1_Public information campaigns,Egypt,EGY,3.623,percent change,2020.0
10,Health,Prevalence of total cancers,H1_Public information campaigns,Egypt,EGY,0.0042,percent,2019.0
11,Demographics,Fixed broadband subscriptions,H1_Public information campaigns,Egypt,EGY,7.56957,per 100 people,2019.0
12,Health,Summary exposure value tobacco,H1_Public information campaigns,Egypt,EGY,35.65798,Rate (risk-weighted prevalence),2019.0
13,Health,"Incidence of tuberculosis (per 100,000 people)",H1_Public information campaigns,Egypt,EGY,12.0,Cases,2019.0
14,Health,Prevalence of Depressive disorders,H1_Public information campaigns,Egypt,EGY,0.038731,percent,2019.0
15,Environment,Energy use (kg of oil equivalent per capita),H1_Public information campaigns,Egypt,EGY,827.4971668677881,kg of oil equivalent per capita,2014.0
16,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",H1_Public information campaigns,Egypt,EGY,46.4959984,Percentage of total population,2020.0
17,Health,"Nurses and midwives (per 1,000 people)",H1_Public information campaigns,Egypt,EGY,1.9262,Ones,2018.0
18,Social issues ,Net migration,H1_Public information campaigns,Egypt,EGY,-190164.0,net total / data are 5 year estimates,2019.0
19,Governance,Human Freedom Score ,H1_Public information campaigns,Egypt,EGY,4.67,score,2018.0
20,Economics,Volume of exports,H1_Public information campaigns,Egypt,EGY,8.151,percent change,2020.0
21,Governance,Government effectiveness estimate,H1_Public information campaigns,Egypt,EGY,-0.4235377,score,2019.0
22,Social issues ,Proportion of women in managerial positions (%),H1_Public information campaigns,Egypt,EGY,6.37,percent,2017.0
24,Health,Prevalence of down syndrome,H1_Public information campaigns,Egypt,EGY,0.000399,percent,2019.0
25,Health,Prevalence of chronic kidney disease,H1_Public information campaigns,Egypt,EGY,0.079929,percent,2019.0
26,Environment,Electricity production from oil sources,H1_Public information campaigns,Egypt,EGY,21.01199602147524,percent of total,2015.0
27,Health,Prevalence of anxiety disorders,H1_Public information campaigns,Egypt,EGY,0.048597,percent,2019.0
28,Governance,Political stability and absence of violence/terrorism estimate,H1_Public information campaigns,Egypt,EGY,-1.066421,score,2019.0
29,Governance,Aggregate score for the Civil Liberties category,H1_Public information campaigns,Egypt,EGY,12.0,score,2021.0
