rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C8_International travel controls,Mauritius,MUS,63.9999,percent of population,2019.0
3,Health,Prevalence of COVID-19,C8_International travel controls,Mauritius,MUS,524.0,"Number (cumulative total by Dec 26,2020)",2020.0
4,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C8_International travel controls,Mauritius,MUS,6.68900013,percent of total labor force,2020.0
5,Environment,"PM2.5 air pollution, mean annual exposure",C8_International travel controls,Mauritius,MUS,14.45783,micrograms per cubic meter,2017.0
6,Economics,Employment in services (% of total employment) (modeled ILO estimate),C8_International travel controls,Mauritius,MUS,69.0080032,Percentage of total employment,2020.0
7,Economics,Volume of imports,C8_International travel controls,Mauritius,MUS,3.746,percent change,2020.0
9,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C8_International travel controls,Mauritius,MUS,2.5,percent,2018.0
10,Environment,Energy use ,C8_International travel controls,Mauritius,MUS,57.765550292607,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
11,Social issues ,Net migration,C8_International travel controls,Mauritius,MUS,0.0,net total / data are 5 year estimates,2019.0
12,Health,Prevalence of Hypertensive heart disease,C8_International travel controls,Mauritius,MUS,0.00492,percent,2019.0
13,Health,"Prevalence of overweight (modeled estimate, % of children under 5)",C8_International travel controls,Mauritius,MUS,7.6,percent,2020.0
14,Demographics,Fixed broadband subscriptions,C8_International travel controls,Mauritius,MUS,21.6385,per 100 people,2019.0
15,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C8_International travel controls,Mauritius,MUS,58.132,Percentage of total population,2020.0
16,Economics,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",C8_International travel controls,Mauritius,MUS,45.1290016,Percentage of females of the total population,2020.0
17,Social issues ,Press freedom score,C8_International travel controls,Mauritius,MUS,28.0,score,2020.0
18,Health,Prevalence of down syndrome,C8_International travel controls,Mauritius,MUS,0.000122,percent,2019.0
19,Health,Summary exposure value tobacco,C8_International travel controls,Mauritius,MUS,20.56563,Rate (risk-weighted prevalence),2019.0
20,Health,Prevalence of total cancers,C8_International travel controls,Mauritius,MUS,0.009881,percent,2019.0
22,Health,Prevalence of Diabetes,C8_International travel controls,Mauritius,MUS,0.152737,percent,2019.0
23,Demographics,Fixed telephone subscriptions,C8_International travel controls,Mauritius,MUS,434300.0,number,2019.0
24,Health,Prevalence of Depressive disorders,C8_International travel controls,Mauritius,MUS,0.046287,percent,2019.0
25,Environment,CO2 emissions (kt),C8_International travel controls,Mauritius,MUS,4349.062,kt,2016.0
