rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,H7_Vaccination policy,Gibraltar,GIB,94.4445,percent of population,2019.0
2,Demographics,Secure Internet servers ,H7_Vaccination policy,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
4,Environment,Electric power consumption ,H7_Vaccination policy,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
5,Health,Prevalence of COVID-19,H7_Vaccination policy,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
8,Environment,Energy use (kg of oil equivalent per capita),H7_Vaccination policy,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
9,Demographics,Fixed broadband subscriptions,H7_Vaccination policy,Gibraltar,GIB,56.2891,per 100 people,2019.0
10,Demographics,Fixed telephone subscriptions,H7_Vaccination policy,Gibraltar,GIB,16968.0,number,2019.0
19,Environment,CO2 emissions (kt),H7_Vaccination policy,Gibraltar,GIB,634.391,kt,2016.0
23,Environment,Fossil fuel energy consumption,H7_Vaccination policy,Gibraltar,GIB,99.51282,percent of total,2014.0
26,Environment,Combustible renewables and waste,H7_Vaccination policy,Gibraltar,GIB,0.0,percent of total energy,2014.0
33,Environment,"Electricity production from oil, gas and coal sources",H7_Vaccination policy,Gibraltar,GIB,100.0,percent of total,2015.0
34,Health,Mortality due to COVID-19,H7_Vaccination policy,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
42,Environment,Electricity production from oil sources,H7_Vaccination policy,Gibraltar,GIB,100.0,percent of total,2015.0
47,Environment,"Energy imports, net ",H7_Vaccination policy,Gibraltar,GIB,100.0,percent of energy use,2014.0
55,Environment,Electricity production from coal sources ,H7_Vaccination policy,Gibraltar,GIB,0.0,percent of total,2015.0
57,Environment,CO2 emissions (metric tons per capita),H7_Vaccination policy,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
64,Demographics,Mobile cellular subscriptions,H7_Vaccination policy,Gibraltar,GIB,120.284,per 100 people,2019.0
73,Environment,Renewable energy consumption ,H7_Vaccination policy,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
74,Environment,"Electricity production from renewable sources, excluding hydroelectric",H7_Vaccination policy,Gibraltar,GIB,0.0,kWh,2015.0
80,Environment,Electricity production from nuclear sources ,H7_Vaccination policy,Gibraltar,GIB,0.0,percent of total,2014.0
95,Environment,Access to electricity ,H7_Vaccination policy,Gibraltar,GIB,100.0,percent of population,2018.0
