ISO,Policy,score,rank
ETH,H7_Vaccination policy,0.0829594171397792,1
ETH,E2_Debt/contract relief,0.0702501035248793,2
ETH,C5_Close public transport,0.0697828129838806,3
ETH,C2_Workplace closing,0.0695824533950897,4
ETH,C7_Restrictions on internal movement,0.0677744663227363,5
ETH,C3_Cancel public events,0.0655122568841582,6
ETH,H3_Contact tracing,0.0651836769482222,7
ETH,C8_International travel controls,0.0619854232735925,8
ETH,H6_Facial Coverings,0.0587632816938548,9
ETH,C1_School closing,0.058517871560859,10
ETH,C4_Restrictions on gatherings,0.0431816394206975,11
ETH,H1_Public information campaigns,0.0312567720519155,12
ETH,H2_Testing policy,0.0291007287997798,13
ETH,E1_Income support,0.0243651149294768,14
ETH,C6_Stay at home requirements,0.0,15
