ISO,Policy,score,rank
JPN,C4_Restrictions on gatherings,0.0938318455488848,1
JPN,C2_Workplace closing,0.0784262443840149,2
JPN,C5_Close public transport,0.0673004407719581,3
JPN,H7_Vaccination policy,0.0668971372738941,4
JPN,E1_Income support,0.0648970953154509,5
JPN,E2_Debt/contract relief,0.0645188693188486,6
JPN,C3_Cancel public events,0.0633336112124726,7
JPN,C6_Stay at home requirements,0.0600179962923476,8
JPN,H2_Testing policy,0.0552825808225535,9
JPN,C8_International travel controls,0.0549919369757767,10
JPN,C1_School closing,0.0484645923569605,11
JPN,H3_Contact tracing,0.0483679364208355,12
JPN,H6_Facial Coverings,0.0386926075734357,13
JPN,C7_Restrictions on internal movement,0.0319224839472519,14
JPN,H1_Public information campaigns,0.0,15
