ISO,Policy,score,rank
DJI,H7_Vaccination policy,0.1544797796760527,1
DJI,H6_Facial Coverings,0.1016656881800098,2
DJI,C8_International travel controls,0.0802667753549961,3
DJI,C1_School closing,0.0800388407381597,4
DJI,H3_Contact tracing,0.0774775785241208,5
DJI,C2_Workplace closing,0.0704785434140442,6
DJI,E1_Income support,0.059074245730521,7
DJI,H2_Testing policy,0.0590572372174214,8
DJI,C4_Restrictions on gatherings,0.0513137836151403,9
DJI,C3_Cancel public events,0.0478554573540535,10
DJI,H1_Public information campaigns,0.0290211210346781,11
DJI,E2_Debt/contract relief,0.02810224200297,12
DJI,C7_Restrictions on internal movement,0.018397374038555,13
DJI,C6_Stay at home requirements,0.0035688329127808,14
DJI,C5_Close public transport,0.0034460316559794,15
