rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C5_Close public transport,Gibraltar,GIB,94.4445,percent of population,2019.0
5,Demographics,Fixed telephone subscriptions,C5_Close public transport,Gibraltar,GIB,16968.0,number,2019.0
8,Environment,Electricity production from oil sources,C5_Close public transport,Gibraltar,GIB,100.0,percent of total,2015.0
9,Health,Prevalence of COVID-19,C5_Close public transport,Gibraltar,GIB,1153.0,"Number (cumulative total by Dec 26,2020)",2020.0
12,Environment,Energy use (kg of oil equivalent per capita),C5_Close public transport,Gibraltar,GIB,5812.453669384729,kg of oil equivalent per capita,2014.0
13,Demographics,Fixed broadband subscriptions,C5_Close public transport,Gibraltar,GIB,56.2891,per 100 people,2019.0
15,Environment,Combustible renewables and waste,C5_Close public transport,Gibraltar,GIB,0.0,percent of total energy,2014.0
19,Environment,Electricity production from nuclear sources ,C5_Close public transport,Gibraltar,GIB,0.0,percent of total,2014.0
23,Environment,"Energy imports, net ",C5_Close public transport,Gibraltar,GIB,100.0,percent of energy use,2014.0
25,Demographics,Secure Internet servers ,C5_Close public transport,Gibraltar,GIB,16201.29966469838,per 1 million people,2019.0
29,Environment,Electric power consumption ,C5_Close public transport,Gibraltar,GIB,5693.106004447739,kWh per capita,2014.0
35,Health,Mortality due to COVID-19,C5_Close public transport,Gibraltar,GIB,6.0,"Number (cumulative total by Dec 26,2020)",2020.0
38,Environment,"Electricity production from renewable sources, excluding hydroelectric",C5_Close public transport,Gibraltar,GIB,0.0,kWh,2015.0
42,Environment,Electricity production from coal sources ,C5_Close public transport,Gibraltar,GIB,0.0,percent of total,2015.0
51,Environment,Fossil fuel energy consumption,C5_Close public transport,Gibraltar,GIB,99.51282,percent of total,2014.0
58,Environment,CO2 emissions (kt),C5_Close public transport,Gibraltar,GIB,634.391,kt,2016.0
70,Environment,Access to electricity ,C5_Close public transport,Gibraltar,GIB,100.0,percent of population,2018.0
74,Demographics,Mobile cellular subscriptions,C5_Close public transport,Gibraltar,GIB,120.284,per 100 people,2019.0
82,Environment,Renewable energy consumption ,C5_Close public transport,Gibraltar,GIB,0.0,percent of total final energy consumption,2015.0
88,Environment,"Electricity production from oil, gas and coal sources",C5_Close public transport,Gibraltar,GIB,100.0,percent of total,2015.0
90,Environment,CO2 emissions (metric tons per capita),C5_Close public transport,Gibraltar,GIB,18.80401,metric tons per capita,2016.0
