rank,Category,Indicator,Policy,Country,ISO,value,unit,year
1,Demographics,Individuals using the Internet,C4_Restrictions on gatherings,Turkmenistan,TKM,21.251,percent of population,2019.0
2,Health,Domestic General Government Health Expenditure (GGHE-D) as % General Government Expenditure (GGE),C4_Restrictions on gatherings,Turkmenistan,TKM,1.2,percent,2018.0
3,Economics,"Unemployment, total (% of total labor force) (modeled ILO estimate)",C4_Restrictions on gatherings,Turkmenistan,TKM,4.0710001,percent of total labor force,2020.0
4,Health,Prevalence of anxiety disorders,C4_Restrictions on gatherings,Turkmenistan,TKM,0.024608,percent,2019.0
5,Health,Prevalence of COVID-19,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,"Number (cumulative total by Dec 26,2020)",2020.0
6,Social issues ,Proportion of seats held by women in national parliaments (%),C4_Restrictions on gatherings,Turkmenistan,TKM,25.0,proportion,2020.0
7,Environment,Renewable energy consumption ,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0408878864181804,percent of total final energy consumption,2015.0
8,Health,Summary exposure value tobacco,C4_Restrictions on gatherings,Turkmenistan,TKM,36.7436,Rate (risk-weighted prevalence),2019.0
10,Governance,Rule of law estimate ,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.414785,score,2019.0
11,Health,Prevalence of Diabetes,C4_Restrictions on gatherings,Turkmenistan,TKM,0.047879,percent,2019.0
12,Economics,Volume of imports,C4_Restrictions on gatherings,Turkmenistan,TKM,13.399,percent change,2020.0
13,Demographics,Fixed broadband subscriptions,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0868407,per 100 people,2019.0
14,Governance,Regulatory quality estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.957602,score,2019.0
15,Environment,CO2 emissions (metric tons per capita),C4_Restrictions on gatherings,Turkmenistan,TKM,12.47359,metric tons per capita,2016.0
16,Health,"Incidence of tuberculosis (per 100,000 people)",C4_Restrictions on gatherings,Turkmenistan,TKM,45.0,Cases,2019.0
17,Social issues ,Net migration,C4_Restrictions on gatherings,Turkmenistan,TKM,-25001.0,net total / data are 5 year estimates,2019.0
18,Governance,Aggregate score for the Civil Liberties category,C4_Restrictions on gatherings,Turkmenistan,TKM,2.0,score,2021.0
19,Governance,Total freedom in the world score ,C4_Restrictions on gatherings,Turkmenistan,TKM,2.0,score,2021.0
20,Demographics,Mobile cellular subscriptions,C4_Restrictions on gatherings,Turkmenistan,TKM,162.861,per 100 people,2019.0
21,Governance,Government effectiveness estimate,C4_Restrictions on gatherings,Turkmenistan,TKM,-1.15624,score,2019.0
22,Environment,Electricity production from oil sources,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,percent of total,2015.0
23,Health,Prevalence of Hypertensive heart disease,C4_Restrictions on gatherings,Turkmenistan,TKM,0.001548,percent,2019.0
24,Environment,Electric power consumption ,C4_Restrictions on gatherings,Turkmenistan,TKM,2678.763513642065,kWh per capita,2014.0
26,Environment,Electricity production from coal sources ,C4_Restrictions on gatherings,Turkmenistan,TKM,0.0,percent of total,2015.0
27,Health,"Immunization, DPT (% of children ages 12-23 months)",C4_Restrictions on gatherings,Turkmenistan,TKM,99.0,percent,2019.0
28,Social issues ,Press freedom score,C4_Restrictions on gatherings,Turkmenistan,TKM,85.44,score,2020.0
29,Environment,Energy use ,C4_Restrictions on gatherings,Turkmenistan,TKM,393.9511734316079,"(kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",2014.0
30,Health,Prevalence of total cancers,C4_Restrictions on gatherings,Turkmenistan,TKM,0.004744,percent,2019.0
31,Economics,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",C4_Restrictions on gatherings,Turkmenistan,TKM,64.3619995,Percentage of total population,2020.0
